Moisture,Soil_temp,EC,time
21177386.0,21.0,3697342.0,2020-10-14 12:57:19
21174487.0,21.06,3697293.0,2020-10-14 12:57:26
21186246.0,21.0,3697328.0,2020-10-14 12:57:58
21181048.0,21.0,3697237.0,2020-10-14 12:58:05
21181088.0,21.0,3696820.0,2020-10-14 12:58:44
21183988.0,21.0,3696869.0,2020-10-14 12:59:17
21184843.0,20.93,3696827.0,2020-10-14 12:59:23
21177761.0,20.93,3697244.0,2020-10-14 12:59:56
21182491.0,20.87,3697300.0,2020-10-14 13:00:02
21181436.0,20.87,3696834.0,2020-10-14 13:00:35
21186086.0,20.87,3697286.0,2020-10-14 13:00:42
21184335.0,20.87,3696967.0,2020-10-14 13:01:14
21173832.0,20.93,3696785.0,2020-10-14 13:01:21
21187061.0,20.87,3697286.0,2020-10-14 13:01:53
21185003.0,20.81,3697237.0,2020-10-14 13:02:00
21179097.0,20.81,3696869.0,2020-10-14 13:02:33
21180473.0,20.87,3697286.0,2020-10-14 13:02:39
21182464.0,20.87,3696792.0,2020-10-14 13:03:12
21189213.0,20.93,3697363.0,2020-10-14 13:03:18
21176718.0,20.93,3697433.0,2020-10-14 13:03:51
21178322.0,20.93,3697328.0,2020-10-14 13:03:58
21176878.0,20.93,3697272.0,2020-10-14 13:04:30
21178242.0,20.87,3697023.0,2020-10-14 13:04:37
21178349.0,20.87,3697265.0,2020-10-14 13:05:09
21183707.0,20.81,3696883.0,2020-10-14 13:05:16
21184763.0,20.81,3696792.0,2020-10-14 13:05:49
21184335.0,20.81,3697377.0,2020-10-14 13:05:55
21182625.0,20.75,3696876.0,2020-10-14 13:06:28
21180005.0,20.81,3696792.0,2020-10-14 13:06:34
21188010.0,20.81,3696897.0,2020-10-14 13:07:07
21177146.0,20.75,3696841.0,2020-10-14 13:07:14
21179297.0,20.68,3697328.0,2020-10-14 13:07:53
21186794.0,20.68,3696848.0,2020-10-14 13:08:25
21179685.0,20.75,3696932.0,2020-10-14 13:08:32
21182732.0,20.75,3697398.0,2020-10-14 13:09:05
21179137.0,20.87,3697342.0,2020-10-14 13:09:11
21187582.0,20.81,3697058.0,2020-10-14 13:09:44
21184215.0,20.75,3697342.0,2020-10-14 13:09:50
21186286.0,20.75,3696799.0,2020-10-14 13:10:23
21182772.0,20.68,3696883.0,2020-10-14 13:10:30
21178549.0,20.75,3697342.0,2020-10-14 13:11:02
21182892.0,20.75,3696883.0,2020-10-14 13:11:09
21175770.0,20.68,3696459.0,2020-10-14 13:11:41
21187649.0,20.81,3697328.0,2020-10-14 13:11:48
21185271.0,20.81,3697230.0,2020-10-14 13:12:21
