Moisture,Soil_temp,EC,time
22007734.0,22.18,3604736.0,2020-10-07 13:06:26
22007476.0,22.18,3604831.0,2020-10-07 13:06:39
22007643.0,22.12,3604422.0,2020-10-07 13:06:51
22007643.0,22.18,3604831.0,2020-10-07 13:07:03
22007560.0,22.18,3604490.0,2020-10-07 13:07:14
22007518.0,22.18,3604599.0,2020-10-07 13:07:25
22007177.0,22.18,3604613.0,2020-10-07 13:07:36
22007393.0,22.18,3604613.0,2020-10-07 13:07:49
22007393.0,22.25,3604640.0,2020-10-07 13:08:02
22007435.0,22.25,3604592.0,2020-10-07 13:08:14
22006969.0,22.25,3604531.0,2020-10-07 13:08:26
22006419.0,22.25,3604456.0,2020-10-07 13:08:37
22006636.0,22.25,3604504.0,2020-10-07 13:08:49
22006927.0,22.25,3604476.0,2020-10-07 13:09:01
22005787.0,22.25,3604378.0,2020-10-07 13:09:13
22006927.0,22.25,3604606.0,2020-10-07 13:09:24
22007776.0,22.31,3604592.0,2020-10-07 13:09:36
22007943.0,22.31,3604654.0,2020-10-07 13:09:47
22006502.0,22.25,3604456.0,2020-10-07 13:09:59
22006752.0,22.31,3604531.0,2020-10-07 13:10:11
22006969.0,22.31,3604538.0,2020-10-07 13:10:24
22007094.0,22.31,3604633.0,2020-10-07 13:10:36
22006885.0,22.31,3604565.0,2020-10-07 13:10:48
22006636.0,22.31,3604456.0,2020-10-07 13:11:00
22006253.0,22.37,3604497.0,2020-10-07 13:11:12
22006927.0,22.37,3604545.0,2020-10-07 13:11:24
22006752.0,22.37,3604545.0,2020-10-07 13:11:36
22005870.0,22.37,3604442.0,2020-10-07 13:11:47
22005870.0,22.37,3604565.0,2020-10-07 13:12:00
22006669.0,22.37,3604640.0,2020-10-07 13:12:14
22006086.0,22.37,3604592.0,2020-10-07 13:12:25
22006927.0,22.37,3604565.0,2020-10-07 13:12:36
22007094.0,22.37,3604579.0,2020-10-07 13:12:47
22007094.0,22.37,3604606.0,2020-10-07 13:12:59
22006469.0,22.37,3604565.0,2020-10-07 13:13:11
22007476.0,22.37,3604620.0,2020-10-07 13:13:23
22007010.0,22.37,3604613.0,2020-10-07 13:13:35
22007227.0,22.37,3604620.0,2020-10-07 13:13:46
22006045.0,22.37,3604538.0,2020-10-07 13:13:58
22007018.0,22.37,3604599.0,2020-10-07 13:14:10
22006885.0,22.37,3604551.0,2020-10-07 13:14:22
22006677.0,22.37,3604551.0,2020-10-07 13:14:34
22005995.0,22.37,3604412.0,2020-10-07 13:14:47
22006594.0,22.37,3604592.0,2020-10-07 13:14:59
22007218.0,22.37,3604640.0,2020-10-07 13:15:12
22005961.0,22.37,3604538.0,2020-10-07 13:15:23
22006752.0,22.37,3604756.0,2020-10-07 13:15:34
22006677.0,22.37,3604613.0,2020-10-07 13:15:46
22006636.0,22.37,3604592.0,2020-10-07 13:15:57
22006211.0,22.37,3604517.0,2020-10-07 13:16:09
22006045.0,22.37,3604565.0,2020-10-07 13:16:20
22007685.0,22.37,3604661.0,2020-10-07 13:16:32
22006294.0,22.37,3604565.0,2020-10-07 13:16:45
22006294.0,22.37,3604545.0,2020-10-07 13:16:56
22007352.0,22.37,3604667.0,2020-10-07 13:17:07
22007010.0,22.37,3604606.0,2020-10-07 13:17:19
22006894.0,22.37,3604476.0,2020-10-07 13:17:31
22006128.0,22.37,3604511.0,2020-10-07 13:17:43
22006169.0,22.37,3604586.0,2020-10-07 13:17:54
22006511.0,22.31,3604511.0,2020-10-07 13:18:06
22007102.0,22.37,3604558.0,2020-10-07 13:18:19
22006711.0,22.37,3604531.0,2020-10-07 13:18:32
22006935.0,22.31,3604531.0,2020-10-07 13:18:43
22006211.0,22.31,3604613.0,2020-10-07 13:18:55
22008325.0,22.31,3604702.0,2020-10-07 13:19:07
22007776.0,22.31,3604777.0,2020-10-07 13:19:18
22008067.0,22.31,3604722.0,2020-10-07 13:19:30
22007734.0,22.31,3604661.0,2020-10-07 13:19:41
22007734.0,22.31,3604715.0,2020-10-07 13:19:53
22006502.0,22.25,3604586.0,2020-10-07 13:20:05
22007518.0,22.25,3604579.0,2020-10-07 13:20:17
22007943.0,22.25,3604715.0,2020-10-07 13:20:30
22007601.0,22.25,3604790.0,2020-10-07 13:20:41
22008026.0,22.25,3604688.0,2020-10-07 13:20:52
22006752.0,22.25,3604538.0,2020-10-07 13:21:04
22007560.0,22.25,3604633.0,2020-10-07 13:21:16
22006802.0,22.25,3604545.0,2020-10-07 13:21:28
22006511.0,22.25,3604558.0,2020-10-07 13:21:40
22007268.0,22.25,3604531.0,2020-10-07 13:21:52
22007601.0,22.25,3604695.0,2020-10-07 13:22:03
22006294.0,22.25,3604470.0,2020-10-07 13:22:15
22007094.0,22.25,3604647.0,2020-10-07 13:22:38
22007268.0,22.25,3604558.0,2020-10-07 13:22:50
22006844.0,22.25,3604606.0,2020-10-07 13:23:01
22007393.0,22.25,3604538.0,2020-10-07 13:23:13
22006336.0,22.25,3604674.0,2020-10-07 13:23:25
22007393.0,22.25,3604654.0,2020-10-07 13:23:37
22007177.0,22.25,3604661.0,2020-10-07 13:24:00
22006885.0,22.25,3604620.0,2020-10-07 13:24:12
22006802.0,22.25,3604579.0,2020-10-07 13:24:23
22007052.0,22.25,3604606.0,2020-10-07 13:24:35
22006844.0,22.25,3604551.0,2020-10-07 13:24:47
22007310.0,22.25,3604640.0,2020-10-07 13:24:59
22007268.0,22.25,3604654.0,2020-10-07 13:25:11
22006719.0,22.25,3604633.0,2020-10-07 13:25:23
22007094.0,22.25,3604517.0,2020-10-07 13:25:35
22006969.0,22.25,3604606.0,2020-10-07 13:25:47
