Number,User,Date Submitted,Country,Device,Browser,OS,"Prosím, pomôžte nám zlepšiť naše služby. Ako náročné bolo pre vás nakupovať cez Orange Eshop na škále 1-5?","Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
1,00000000,2020-02-11 12:21:27,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,Strucne jasne vystizne
2,00000000,2020-02-11 12:42:19,Slovakia,phone,Chrome Mobile 79.0.3945,Android 8.0.0,5,Katastrofa 
3,00000000,2020-02-11 12:45:47,Slovakia,desktop,Chrome 76.0.3809,Windows 10,1,
4,00000000,2020-02-11 13:14:05,Slovakia,phone,Facebook 256.0.0,Android 7.0,5,
5,00000000,2020-02-11 14:08:28,Slovakia,desktop,Chrome 79.0.3945,Windows 7,1,
6,00000000,2020-02-11 14:54:20,Slovakia,phone,Facebook 256.0.0,Android 6.0,5,Labo je to velmi richly a spolahlivi dakujem
7,00000000,2020-02-11 14:56:09,Slovakia,tablet,Chrome 80.0.3987,Android 7.0,3,
8,00000000,2020-02-11 15:11:04,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,1,
9,00000000,2020-02-11 15:44:18,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.0.0,1,
10,00000000,2020-02-11 16:45:32,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,2,
11,00000000,2020-02-11 17:02:42,Slovakia,desktop,Chrome 79.0.3945,Windows 10,1,"prehľadné, dobrá orientácia na stránke"
12,00000000,2020-02-11 17:44:50,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
13,00000000,2020-02-11 18:39:00,Slovakia,phone,Chrome Mobile 79.0.3945,Android,5,Super
14,00000000,2020-02-11 19:13:50,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,1,
15,00000000,2020-02-11 20:00:48,Slovakia,desktop,Chrome 79.0.3945,Windows 10,5,
16,00000000,2020-02-11 20:18:09,Slovakia,desktop,Chrome 79.0.3945,Windows 8.1,1,jednoduche :)
17,00000000,2020-02-11 20:43:17,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,3,Nie vsetky ikonky spolupracivali
