Number,User,Date Submitted,Country,Device,Browser,OS,Ako ste spokojní s našimi Paušálmi Go na škále 1-5?,"Prosím, opíšte prečo. Je to pre nás veľmi dôležité."
1,0,17/03/2020 16:44,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
2,0,17/03/2020 16:44,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
3,0,17/03/2020 16:47,Slovakia,desktop,Firefox 74.0,Windows 10,,
4,0,17/03/2020 16:47,Czechia,desktop,Chrome 80.0.3987,Windows 10,3,
5,0,17/03/2020 16:47,Slovakia,desktop,Firefox 52.0,Windows Vista,,
6,0,17/03/2020 16:56,Slovakia,phone,Facebook 189.0.0,Android 6.0.1,,
7,0,17/03/2020 17:17,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
8,0,17/03/2020 17:22,Slovakia,phone,Chrome Mobile 79.0.3945,Android,2,
9,0,17/03/2020 17:23,Slovakia,desktop,Safari 12.1,Mac OS X 10.13.6,,
10,0,17/03/2020 17:27,Slovakia,desktop,Edge 18.18362,Windows 10,1,Su drahe.
11,0,17/03/2020 17:30,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,"mam starsi pausal, potrebujem ho zmenit na sucasne potreby"
12,0,17/03/2020 17:31,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
13,0,17/03/2020 17:51,Slovakia,desktop,Firefox 52.0,Windows Vista,2,pozdravujem vas som vas dlhodoby zakaznik a a neviete mi ponuknut ovela nisi pausol alebo moznosti ako konkurencia 
14,0,17/03/2020 17:57,Slovakia,desktop,Firefox 74.0,Windows 10,4,
15,0,17/03/2020 18:18,Slovakia,desktop,Chrome 49.0.2623,Windows Vista,,
16,0,17/03/2020 18:20,Slovakia,desktop,Firefox 74.0,Windows 10,4,
17,0,17/03/2020 18:28,Slovakia,desktop,Firefox 73.0,Windows 10,5,
18,0,17/03/2020 18:39,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
19,0,17/03/2020 18:40,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
20,0,17/03/2020 18:41,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
21,0,17/03/2020 18:53,Slovakia,desktop,Opera 67.0.3575,Windows 10,4,
22,0,17/03/2020 18:53,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,Vysoké ceny oproti iným operátorom
23,0,17/03/2020 19:07,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15,4,Vsetko ok ale cena je vyssia ako konkurencia
24,0,17/03/2020 19:10,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,malo dát konkurencia má dáta ktoré sa nevyžite pričítajú do ďalšieho mesiaca
25,0,17/03/2020 19:10,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,1,
26,0,17/03/2020 19:25,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
27,0,17/03/2020 19:37,Czechia,desktop,Chrome 80.0.3987,Windows 10,,
28,0,17/03/2020 19:37,Slovakia,desktop,Chromium 80.0.3987,Ubuntu,,
29,0,17/03/2020 19:51,Slovakia,desktop,Edge 18.17763,Windows 10,3,
30,0,17/03/2020 20:01,Slovakia,desktop,Firefox 74.0,Windows 10,5,skvely pausal
31,0,17/03/2020 20:06,Slovakia,desktop,Firefox 74.0,Windows 7,3,
32,0,17/03/2020 20:32,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
33,0,17/03/2020 20:37,Slovakia,tablet,Chrome 80.0.3987,Android 8.1.0,,
34,0,17/03/2020 20:48,Slovakia,tablet,Chrome 72.0.3626,Android 4.4.4,,
35,0,17/03/2020 20:52,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4, 
36,0,17/03/2020 21:07,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Dost vysoka cena za pausal internet malo dat v zakladnom programe pausalu a NESKUTOCNE drahe az predrazenene zariadenia telefony ohladom na to ze clovek plati mesacne za pausal takze bud si zoberie telefon co najlacnejsi a bude sluzit iba na bezne pouzivanie alebo nezoberie nic pretoze lepsie telefony ako spominam su drahe co je si myslim na hlavu.... Dat prvu akontaciu napr.500 euro a plus k tomu 24 mesiacov platit este 15 euro ku tomu plus pausal trocha chore a predrazene 
37,0,17/03/2020 21:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
38,0,17/03/2020 21:43,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
39,0,17/03/2020 21:53,Slovakia,desktop,Safari 13.0.1,Mac OS X 10.14.6,,
40,0,17/03/2020 21:56,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,nemate ziadne akcie pre stalych zakaznikov
41,0,17/03/2020 21:59,Slovakia,desktop,Chrome 82.0.4073,Windows 10,3,
42,0,17/03/2020 22:31,Slovakia,phone,Chrome Mobile 80.0.3987,Android 8.1.0,3,Viac dát by mohlo byť k paušálu
43,0,17/03/2020 23:17,Slovakia,desktop,Opera 67.0.3575,Windows 10,1,"lebo ho nemam,ako s nim mam byt spoko ? "
44,0,18/03/2020 05:03,Slovakia,phone,Chrome Mobile 80.0.3987,Android,4,Nič nie je dokonalé 
45,0,18/03/2020 06:16,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Ako starý zákazník málo výhod 
46,0,18/03/2020 06:49,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
47,0,18/03/2020 07:06,Slovakia,phone,Chrome Mobile 71.0.3578,Android 7.0,2,500 mb internet pre balik go 20 je nic
48,0,18/03/2020 07:10,Slovakia,desktop,Firefox 74.0,Windows 10,3,
49,0,18/03/2020 07:11,Slovakia,tablet,Mobile Safari 9.0,iOS 9.3.5,4,
50,0,18/03/2020 07:26,Slovakia,phone,Chrome Mobile 80.0.3987,Android,1,Za také isté služby ma konkurencia cenu 12e
51,0,18/03/2020 07:26,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,nemám váš paušál
52,0,18/03/2020 07:29,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5, 
53,0,18/03/2020 07:54,Slovakia,desktop,Safari 13.0.5,Mac OS X 10.15.3,3,
54,0,18/03/2020 08:02,Slovakia,tablet,Chrome 75.0.3770,Android 8.0.0,,
55,0,18/03/2020 08:17,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
56,0,18/03/2020 08:22,United States,desktop,Chrome 80.0.3987,Windows 10,,
57,0,18/03/2020 08:24,Germany,desktop,Edge 18.18363,Windows 10,2,
58,0,18/03/2020 08:32,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
59,0,18/03/2020 08:36,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,viac dát v GO 20
60,0,18/03/2020 09:30,Switzerland,desktop,Chrome 80.0.3987,Windows 10,,
61,0,18/03/2020 09:31,Slovakia,desktop,Edge 18.18363,Windows 10,,
62,0,18/03/2020 09:35,Slovakia,desktop,Chrome 80.0.3987,Mac OS X 10.14.6,4,cena as mi zdá privysoká
63,0,18/03/2020 09:43,Slovakia,phone,Samsung Internet 11.1,Android,3,
64,0,18/03/2020 09:45,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,drahe pausaly
65,0,18/03/2020 09:57,Slovakia,phone,Chrome Mobile 80.0.3987,Android,3,Malo dát 
66,0,18/03/2020 10:15,Slovakia,desktop,Chrome 80.0.3987,Windows 7,,
67,0,18/03/2020 10:21,Slovakia,phone,Chrome Mobile 71.0.3578,Android 8.1.0,3,
68,0,18/03/2020 10:23,Slovakia,desktop,Chrome 80.0.3987,Windows 8.1,,
69,0,18/03/2020 10:25,Slovakia,desktop,Chrome 43.0.2357,Windows 7,4,
70,0,18/03/2020 10:43,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
71,0,18/03/2020 10:59,Slovakia,desktop,IE 11.0,Windows 10,5,
72,0,18/03/2020 11:03,Slovakia,desktop,Firefox 74.0,Windows 8.1,4,radsej mi zavolajte
73,0,18/03/2020 11:11,Slovakia,desktop,IE 11.0,Windows 10,3,
74,0,18/03/2020 11:14,Slovakia,desktop,Chrome 80.0.3987,Windows 10,1,
75,0,18/03/2020 11:16,Slovakia,desktop,Chrome 80.0.3987,Windows 7,5,
76,0,18/03/2020 11:21,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,2,Je to v poriadku 
77,0,18/03/2020 11:27,Slovakia,desktop,Opera 67.0.3575,Windows 10,3,
78,0,18/03/2020 11:35,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,
79,0,18/03/2020 12:03,Slovakia,desktop,Firefox 74.0,Ubuntu,,
80,0,18/03/2020 12:15,Slovakia,phone,Samsung Internet 11.1,Android 5.1.1,4,
81,0,18/03/2020 12:20,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
82,0,18/03/2020 12:32,Slovakia,phone,Chrome Mobile 80.0.3987,Android,,
83,0,18/03/2020 12:36,Slovakia,desktop,IE 11.0,Windows 10,3,
84,0,18/03/2020 12:49,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
85,0,18/03/2020 13:23,,desktop,IE 11.0,Windows 10,,
86,0,18/03/2020 13:27,Slovakia,desktop,Chrome 80.0.3987,Windows 10,2,som zakaznikom uz 12 rokov no ziaden vyhody nebadam ze som verny
87,0,18/03/2020 13:50,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
88,0,18/03/2020 13:51,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,bezproblémová prevádzka
89,0,18/03/2020 13:55,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.0,2,Chcem nieco lacnejsie
90,0,18/03/2020 14:04,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
91,0,18/03/2020 14:07,Slovakia,desktop,Firefox 74.0,Windows 7,3,
92,0,18/03/2020 14:09,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,Pokrytie signalom
93,0,18/03/2020 14:12,Slovakia,desktop,Firefox 74.0,Windows 10,3,
94,0,18/03/2020 14:24,Slovakia,phone,Facebook 261.0.0,Android 8.0.0,3,
95,0,18/03/2020 14:30,Slovakia,desktop,Edge 18.18362,Windows 10,4,
96,0,18/03/2020 14:33,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
97,0,18/03/2020 14:36,Slovakia,desktop,Firefox 73.0,Windows 10,,
98,0,18/03/2020 14:41,Slovakia,desktop,Chrome 80.0.3987,Windows 7,3,"Mam Go 30 len preto, ze potrebujem mobilné dáta 4 GB.  Na telefonovanie mi stačí lacnejší balík.
Mesacný poplatok je vysoký,


"
99,0,18/03/2020 15:02,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,
100,0,18/03/2020 15:04,Slovakia,desktop,Chrome 80.0.3987,Windows 10,4,
101,0,18/03/2020 15:07,Slovakia,desktop,Chrome 78.0.3904,Windows 7,,
102,0,18/03/2020 15:12,Slovakia,desktop,Firefox 75.0,Windows 7,5,Maximálne ústertový personál a kvalitné služby
103,0,18/03/2020 15:30,Slovakia,desktop,Chrome 80.0.3987,Windows 10,,
104,0,18/03/2020 15:31,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,"Som v  už cca 25 rokov , mám  2 paušály, internet aj televíziu. Do som priviedol aj  5 mojich detí , ktoré majú taktiež paušály, internet aj televíziu.
Za uvedenú dobu vernosti nemám prakticky žiadne výhody ja ani  najbližší... Je k tomu potrebné ešte niečo dodať ?
Myslím si, že by ste mali poskytnúť za dobu vernosti úplne iné zľavy a to buď na smartfóny alebo internet, prípadne paušály...  ak je to pre vás veľmi dôležité....
S pozdravom  M.Ladiver"
105,0,18/03/2020 15:38,Slovakia,desktop,Chrome 80.0.3987,Windows 10,3,Pretoze ak vyuzivam pausal v zahranici tak mi utujete neskutocne poplatky.
106,0,18/03/2020 15:39,Slovakia,phone,Chrome Mobile 80.0.3987,Android 7.1.2,,
107,0,18/03/2020 15:49,Slovakia,phone,Chrome Mobile 77.0.3865,Android 8.0.0,,
108,0,18/03/2020 16:01,Slovakia,phone,Mobile Safari 13.0.5,iOS 13.3.1,1,
109,0,18/03/2020 16:20,Slovakia,phone,Chrome Mobile 80.0.3987,Android,5,
110,0,18/03/2020 16:20,Slovakia,desktop,Chrome 80.0.3987,Windows 10,5,"""D"
